name,website,X,Facebook
"Sewell, Terri",https://sewell.house.gov/,http://www.twitter.com/RepTerriSewell,http://www.facebook.com/RepSewell
"Scott, Robert",https://bobbyscott.house.gov,https://www.x.com/bobbyscott,https://www.facebook.com/RepBobbyScott
"Self, Keith",https://keithself.house.gov,https://twitter.com/repkeithself,https://www.facebook.com/repkeithself
"Shreve, Jefferson",https://shreve.house.gov/,https://twitter.com/repshreve?s=21&t=YX53DdoGtgHLLyMCBPVX_g,https://www.facebook.com/RepJeffersonShreve
"Simon, Lateefah",https://simon.house.gov/,https://twitter.com/RepLSimon,https://www.facebook.com/RepLSimon
"Smith, Christopher",https://chrissmith.house.gov/,,
"Sherman, Brad",https://sherman.house.gov,https://twitter.com/BradSherman,https://www.facebook.com/CongressmanBradSherman
"Smith, Adam",https://adamsmith.house.gov/,https://twitter.com/RepAdamSmith,https://www.facebook.com/RepAdamSmith
"Sherrill, Mikie",https://clerk.house.gov/members/NJ11/vacancy,,
"Simpson, Michael",https://simpson.house.gov,https://twitter.com/CongMikeSimpson,https://www.facebook.com/Mike-Simpson-96007744606/
"Smith, Jason",https://jasonsmith.house.gov,https://twitter.com/RepJasonSmith,https://www.facebook.com/repjasonsmith
"Smith, Adrian",https://adriansmith.house.gov/,https://x.com/repadriansmith,https://www.facebook.com/gop
"Soto, Darren",https://soto.house.gov,,
"Stanton, Greg",https://stanton.house.gov/,http://twitter.com/repgregstanton,http://www.facebook.com/repgregstanton
"Smucker, Lloyd",https://smucker.house.gov/,,https://www.facebook.com/RepSmucker/
"Stansbury, Melanie",https://stansbury.house.gov/,,
"Sorensen, Eric",https://sorensen.house.gov,https://x.com/RepEricSorensen,https://www.facebook.com/RepEricSorensen/
"Spartz, Victoria",https://spartz.house.gov,https://twitter.com/RepSpartz,https://www.facebook.com/RepSpartz
"Stauber, Pete",https://stauber.house.gov,http://twitter.com/RepPeteStauber,http://www.facebook.com/RepPeteStauber
"Steil, Bryan",https://steil.house.gov,https://twitter.com/repbryansteil,
"Stefanik, Elise",https://stefanik.house.gov/,http://twitter.com/RepStefanik,http://www.facebook.com/RepEliseStefanik
"Rose, John",https://johnrose.house.gov/,https://twitter.com/repjohnrose,https://www.facebook.com/repjohnrose
"Strickland, Marilyn",https://strickland.house.gov,https://twitter.com/RepStricklandWA,https://facebook.com/RepStricklandWA
"Stevens, Haley",https://stevens.house.gov/,,
